Comments,OrigFullComment,Type,Class,Year,Quarter,NewCleanComment,OriginalC,Topics,SubTopics,Sentiment
"thank you for this class, i had so much fun :)","This was my first big introduction to some super cool bioinformatics tools!! Thank you for this class, I had so much fun :)",Other Comments,M116L,2021,Spring,"this was my first big introduction to some super cool bioinformatics tools!! thank you for this class, i had so much fun :)","this was my first big introduction to some super cool bioinformatics tools!! thank you for this class, i had so much fun :)",fun_entertain_thank,None,positive
is very entertaining and keeps class fun.,Very good explanations and challenges students to think Explains problems in class in an understandable way The instructor urges us to think critically. Is very entertaining and keeps class fun. Encourages students to think critically His class schedule is very clear.,Strength,M116L,2022,Spring,very good explanations and challenges students to think explains problems in class in an understandable way the instructor urges us to think critically. is very entertaining and keeps class fun. encourages students to think critically his class schedule is very clear.,very good explanations and challenges students to think explains problems in class in an understandable way the instructor urges us to think critically. is very entertaining and keeps class fun.,fun_entertain_thank,None,positive
"he reaches well, is kind to his students, does his best to make entertaining, and provides us many opportunities to interact with our group mates.","He is honestly an inspirational professor. He reaches well, is kind to his students, does his best to make entertaining, and provides us many opportunities to interact with our group mates. He is very understanding. There arent any flaws that I could think of.",Strength,M116L,2020,Fall,"he is honestly an inspirational professor. he reaches well, is kind to his students, does his best to make entertaining, and provides us many opportunities to interact with our group mates. he is very understanding. there arent any flaws that i could think of.","he reaches well, is kind to his students, does his best to make entertaining, and provides us many opportunities to interact with our group mates.",group_encourage_quiz,encourage_group_engage,positive
"his course was also well-structured to encourage group work and collaboration, as well as providing many resources for students to get help and ask questions about the material.","He was personable and seemed amiable with all students. His course was also well-structured to encourage group work and collaboration, as well as providing many resources for students to get help and ask questions about the material.",Strength,M116L,2020,Fall,"he was personable and seemed amiable with all students. his course was also well-structured to encourage group work and collaboration, as well as providing many resources for students to get help and ask questions about the material.","his course was also well-structured to encourage group work and collaboration, as well as providing many resources for students to get help and ask questions about the material.",group_encourage_quiz,encourage_group_engage,positive
"facilitated group discussion through breakout rooms with las, i enjoyed discussing throughout the class.","Facilitated group discussion through breakout rooms with LAs, I enjoyed discussing throughout the class. Paper readings were interesting and relevant, I enjoyed the research we did in this class a lot.",Strength,M116L,2020,Fall,"facilitated group discussion through breakout rooms with las, i enjoyed discussing throughout the class. paper readings were interesting and relevant, i enjoyed the research we did in this class a lot.","facilitated group discussion through breakout rooms with las, i enjoyed discussing throughout the class.",group_encourage_quiz,discussion_group_facilitate,positive
incorporating a lot of group discussion and activities within lectures.,Incorporating a lot of group discussion and activities within lectures. He was clear and concise and made sure to answer all questions received from the students.,Strength,M116L,2020,Fall,incorporating a lot of group discussion and activities within lectures. he was clear and concise and made sure to answer all questions received from the students.,incorporating a lot of group discussion and activities within lectures.,group_encourage_quiz,discussion_group_facilitate,neutral
he promotes discussion and the exchange of ideas between classmates.,The instructor is great at making students be collaborative and proactive about learning. He promotes discussion and the exchange of ideas between classmates.,Strength,M116L,2020,Fall,the instructor is great at making students be collaborative and proactive about learning. he promotes discussion and the exchange of ideas between classmates.,he promotes discussion and the exchange of ideas between classmates.,group_encourage_quiz,promote_discussion_idea,positive
professor encourages use of collaboration with other students in problem-solving,Professor encourages use of collaboration with other students in problem-solving,Strength,M116L,2020,Fall,professor encourages use of collaboration with other students in problem-solving,professor encourages use of collaboration with other students in problem-solving,group_encourage_quiz,encourage_group_engage,positive
"makes lectures very interactive, encourages group work, interacts with his students.","Makes lectures very interactive, encourages group work, interacts with his students.",Strength,M116L,2020,Fall,"makes lectures very interactive, encourages group work, interacts with his students.","makes lectures very interactive, encourages group work, interacts with his students.",group_encourage_quiz,discussion_group_facilitate,positive
i also suggest having a description of what each member did at the end of assignment to better understand which teams are working with group and if possible ta can encourage other members to participate.,I also suggest having a description of what each member did at the end of assignment to better understand which teams are working with group and if possible TA can encourage other members to participate.,Other Comments,M116L,2020,Fall,i also suggest having a description of what each member did at the end of assignment to better understand which teams are working with group and if possible ta can encourage other members to participate.,i also suggest having a description of what each member did at the end of assignment to better understand which teams are working with group and if possible ta can encourage other members to participate.,group_encourage_quiz,member_understand_team,neutral
but Prof's class always allows all the students to engage with each other.,"It is really difficult. But you learn so much. What you learned from this class can actually benefit for your future career. As bio major students, we often experience the toxic 'weed out the weak' mentality. Everyone is out there for their own. No one like sharing knowledge. Because people want other people to do worse in class so their grade can be better. But Dr.K's class always allows ALL the students to engage with each other. Someone gives this man's a raise please.",Other Comments,M116L,2020,Fall,"it is really difficult. but you learn so much. what you learned from this class can actually benefit for your future career. as bio major students, we often experience the toxic 'weed out the weak' mentality. everyone is out there for their own. no one like sharing knowledge. because people want other people to do worse in class so their grade can be better. but Prof's class always allows all the students to engage with each other. someone gives this man's a raise please.",but Prof's class always allows all the students to engage with each other.,group_encourage_quiz,prof_allow_engage,positive
promoted good team collaboration too.,Very interactive teaching approach and open ended lab report subject. Very good at teaching the skills needed to become successful at writing scientific papers. Promoted good team collaboration too.,Strength,M116L,2021,Spring,very interactive teaching approach and open ended lab report subject. very good at teaching the skills needed to become successful at writing scientific papers. promoted good team collaboration too.,promoted good team collaboration too.,group_encourage_quiz,promote_good_team,positive
he tries to engage all his students into class activities and encourages students to ask questions when they need clarification.,"He has an open-minded approach to learning techniques, he asks the class questions that build upon prior knowledge, he answers students' questions by asking follow-up questions that guide students toward the most reasonable answer. He makes jokes to lighten the mood in the early morning classes but stays respectful. He tries to engage all his students into class activities and encourages students to ask questions when they need clarification. He integrates simple analysis programs and learning applications (Perusall, ImageJ, GelAnalyzer, Morpheus, PollEv) which makes going through the reading material and sharing information with peers more efficient. He acknowledges moments where the quiz questions or lab protocols were erroneous and makes amends and clarifications to address them to prevent further confusion.",Strength,M116L,2022,Spring,"he has an open-minded approach to learning techniques, he asks the class questions that build upon prior knowledge, he answers students' questions by asking follow-up questions that guide students toward the most reasonable answer. he makes jokes to lighten the mood in the early morning classes but stays respectful. he tries to engage all his students into class activities and encourages students to ask questions when they need clarification. he integrates simple analysis programs and learning applications which makes going through the reading material and sharing information with peers more efficient. he acknowledges moments where the quiz questions or lab protocols were erroneous and makes amends and clarifications to address them to prevent further confusion.",he makes jokes to lighten the mood in the early morning classes but stays respectful. he tries to engage all his students into class activities and encourages students to ask questions when they need clarification. he integrates simple analysis programs and learning applications which makes going through the reading material and sharing information with peers more efficient.,group_encourage_quiz,encourage_group_engage,positive
i also appreciated the emphasis on teamwork and collaboration as well as how students were encouraged to come up with our own experiments.,Dr. Prof is great at explaining material in ways that are easy to understand. I enjoyed the format of the course with the weekly quizzes and readings because it got me to really have to stay on top of the material throughout the whole quarter. I also appreciated the emphasis on teamwork and collaboration as well as how students were encouraged to come up with our own experiments.,Strength,M116L,2022,Spring,Doctor Prof is great at explaining material in ways that are easy to understand. i enjoyed the format of the course with the weekly quizzes and readings because it got me to really have to stay on top of the material throughout the whole quarter. i also appreciated the emphasis on teamwork and collaboration as well as how students were encouraged to come up with our own experiments.,i also appreciated the emphasis on teamwork and collaboration as well as how students were encouraged to come up with our own experiments.,group_encourage_quiz,collaboration_encourage_appreciate,positive
"in addition, he promotes teamwork, in the preparation for these quizzes.","The quizzes of which he gives us are incredibly difficult but they also make us think about almost every scenario that we could think of in regard to that data. In addition, he promotes teamwork, in the preparation for these quizzes.",Strength,M116L,2022,Spring,"the quizzes of which he gives us are incredibly difficult but they also make us think about almost every scenario that we could think of in regard to that data. in addition, he promotes teamwork, in the preparation for these quizzes.","the quizzes of which he gives us are incredibly difficult but they also make us think about almost every scenario that we could think of in regard to that data. in addition, he promotes teamwork, in the preparation for these quizzes.",group_encourage_quiz,addition_promote_teamwork,positive
he is engaging and wants to communicate with the students.,He is engaging and wants to communicate with the students. He tries new approaches to make the class a better learning environment for students.,Strength,M116L,2022,Spring,he is engaging and wants to communicate with the students. he tries new approaches to make the class a better learning environment for students.,he is engaging and wants to communicate with the students.,group_encourage_quiz,engage_want_communicate,positive
"it was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.","I wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning. The learning community didn't work out for me, as I felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter. It was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.",Improvement,M116L,2022,Spring,"i wish he gave students more choice for how they want the learning experience to be, rather than assigning us into a system that confuses us and distracts us from learning. the learning community didn't work out for me, as i felt it was limiting some students from learning further, as they were not assigned to learning community in the beginning of the quarter. it was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.","it was Other Commentsly a confusing system for many students and this class was harder to participate and perform good in, due to confusion that discouraged us from feeling more engaged in learning/forming our own study partners to perform well.",group_encourage_quiz,perform_participate_good,negative
i was the only one texting in our group chat and trying to get everyone to collaborate.,"Stop using learning communities because it feels unfair sometimes. I was put into a group where no one was speaking up until Week 9. I was the only one texting in our group chat and trying to get everyone to collaborate. If everyone in the class was on the same playing field and worked independently, that would be much appreciated",Improvement,M116L,2022,Spring,"stop using learning communities because it feels unfair sometimes. i was put into a group where no one was speaking up until week nine. i was the only one texting in our group chat and trying to get everyone to collaborate. if everyone in the class was on the same playing field and worked independently, that would be much appreciated",i was the only one texting in our group chat and trying to get everyone to collaborate.,group_encourage_quiz,group_try_collaborate,neutral
always discussing topics in class and promoting active learning.,Always discussing topics in class and promoting active learning. Professor has clear expectations and explanations are clear,Strength,M116L,2019,Spring,always discussing topics in class and promoting active learning. professor has clear expectations and explanations are clear,always discussing topics in class and promoting active learning.,group_encourage_quiz,promote_discussion_idea,positive
always tries to encourage students to participate.,Always tries to encourage students to participate.,Strength,M116L,2019,Spring,always tries to encourage students to participate.,always tries to encourage students to participate.,group_encourage_quiz,try_encourage_participate,positive
encourages a lot of active engagement/participation/collaboration which is necessary for an understanding of the material,Encourages a lot of active engagement/participation/collaboration which is necessary for an understanding of the material,Strength,M116L,2019,Spring,encourages a lot of active engagement/participation/collaboration which is necessary for an understanding of the material,encourages a lot of active engagement/participation/collaboration which is necessary for an understanding of the material,group_encourage_quiz,collaboration_encourage_appreciate,positive
"explains quizzes, listens to student feedback, encourages group discussion","explains quizzes, listens to student feedback, encourages group discussion",Strength,M116L,2019,Spring,"explains quizzes, listens to student feedback, encourages group discussion","explains quizzes, listens to student feedback, encourages group discussion",group_encourage_quiz,encourage_group_engage,positive
great at facilitating discussion,Great at facilitating discussion,Strength,M116L,2019,Spring,great at facilitating discussion,great at facilitating discussion,group_encourage_quiz,discussion_group_facilitate,positive
knows how to engage the student audience when lecturing.,Knows how to effectively communicate and teach concepts by guiding students to help answer their own questions. Knows how to engage the student audience when lecturing.,Strength,M116L,2019,Spring,knows how to effectively communicate and teach concepts by guiding students to help answer their own questions. knows how to engage the student audience when lecturing.,knows how to engage the student audience when lecturing.,group_encourage_quiz,encourage_group_engage,neutral
professor did a great job of keeping the class engaged by asking multiple questions and encouraging group discussions.,Professor did a great job of keeping the class engaged by asking multiple questions and encouraging group discussions. Professor did a great job of explaining different concepts very thoroughly.,Strength,M116L,2019,Spring,professor did a great job of keeping the class engaged by asking multiple questions and encouraging group discussions. professor did a great job of explaining different concepts very thoroughly.,professor did a great job of keeping the class engaged by asking multiple questions and encouraging group discussions.,group_encourage_quiz,encourage_group_engage,positive
"really great mentor, stimulates critical thinking, promotes group-work, helpful, nice, very organized with everything.","Really great mentor, stimulates critical thinking, promotes group-work, helpful, nice, very organized with everything.",Strength,M116L,2019,Spring,"really great mentor, stimulates critical thinking, promotes group-work, helpful, nice, very organized with everything.","really great mentor, stimulates critical thinking, promotes group-work, helpful, nice, very organized with everything.",group_encourage_quiz,encourage_group_engage,positive
allow more opportunities for quizzes to be taken individually as opposed to group.,Allow more opportunities for quizzes to be taken individually as opposed to group.,Improvement,M116L,2019,Spring,allow more opportunities for quizzes to be taken individually as opposed to group.,allow more opportunities for quizzes to be taken individually as opposed to group.,group_encourage_quiz,allow_opportunity_quiz,neutral
it is great to make us engaged but sometimes it reaches a point where it’s just dragging on.,"It is great to make us engaged but sometimes it reaches a point where it’s just dragging on. Multiple times this quarter, we had students ask questions that just “begged the question.” Those conversations should be taken to office hours.",Improvement,M116L,2019,Spring,"it is great to make us engaged but sometimes it reaches a point where it’s just dragging on. multiple times this quarter, we had students ask questions that just “begged the question.” those conversations should be taken to office hours.",it is great to make us engaged but sometimes it reaches a point where it’s just dragging on.,group_encourage_quiz,great_engage_reach,neutral
posting answers to quizzes being engaging and encouraging,posting answers to quizzes being engaging and encouraging,Improvement,M116L,2019,Spring,posting answers to quizzes being engaging and encouraging,posting answers to quizzes being engaging and encouraging,group_encourage_quiz,encourage_group_engage,positive
"i enjoyed this course Prof, it helped me to depend on myself in order to have solid group collaboration.","I enjoyed this course Dr. K, it helped me to depend on myself in order to have solid group collaboration. I think the lab lecture should be 2 hours instead of 3 hours. One hour to take the quiz and review it, the next hour should be dedicated to reviewing material in relation to the lab and discuss the paper reading after that.",Other Comments,M116L,2019,Spring,"i enjoyed this course Prof, it helped me to depend on myself in order to have solid group collaboration. i think the lab lecture should be two hours instead of three hours. one hour to take the quiz and review it, the next hour should be dedicated to reviewing material in relation to the lab and discuss the paper reading after that.","i enjoyed this course Prof, it helped me to depend on myself in order to have solid group collaboration.",group_encourage_quiz,encourage_group_engage,positive
i really like how he made the lab an interactive group-based learning.,"Molecular biology is usually a tough subject for most students, but I've learned quite a lot, thanks to Prof. He made the class applicable and built the whole quarter around SARS-CoV-2. I really like how he made the lab an interactive group-based learning. It allowed me to interact with people I've never met before through remote learning. I enjoyed his weekly lectures, and I especially liked how he made use of our time by turning it into active learning.",Strength,M116L,2020,Fall,"molecular biology is usually a tough subject for most students, but i've learned quite a lot, thanks to Prof. he made the class applicable and built the whole quarter around sars-cov-two. i really like how he made the lab an interactive group-based learning. it allowed me to interact with people i've never met before through remote learning. i enjoyed his weekly lectures, and i especially liked how he made use of our time by turning it into active learning.",i really like how he made the lab an interactive group-based learning.,lab_time_work,group_work_like,positive
"teacher was great, he helped us learn what was needed and gave us ample time to finish assignments.","Teacher was great, he helped us learn what was needed and gave us ample time to finish assignments.",Strength,M116L,2020,Fall,"teacher was great, he helped us learn what was needed and gave us ample time to finish assignments.","teacher was great, he helped us learn what was needed and gave us ample time to finish assignments.",lab_time_work,assignment_work_time,positive
